total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,reproduction_rate
8620.0,12.0,242.0,0.0,1577.129,2.196,44.277,0.0,4635.0,208937.0,38.227,0.848,0.0036,279.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,0.95
8628.0,8.0,242.0,0.0,1578.592,1.464,44.277,0.0,1249.0,210186.0,38.456,0.229,0.0035,285.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,0.96
8631.0,3.0,242.0,0.0,1579.141,0.549,44.277,0.0,1135.0,211321.0,38.664,0.208,0.003,331.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,0.99
8647.0,16.0,242.0,0.0,1582.069,2.927,44.277,0.0,5855.0,217176.0,39.735,1.071,0.0031,325.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.03
8660.0,13.0,242.0,0.0,1584.447,2.379,44.277,0.0,5453.0,222629.0,40.733,0.998,0.003,330.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.05
8692.0,32.0,243.0,1.0,1590.302,5.855,44.46,0.183,4985.0,227614.0,41.645,0.912,0.0035,287.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.08
8708.0,16.0,244.0,1.0,1593.229,2.927,44.643,0.183,4565.0,232179.0,42.48,0.835,0.0036,278.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.06
8726.0,18.0,244.0,0.0,1596.523,3.293,44.643,0.0,3815.0,235994.0,43.178,0.698,0.0039,255.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.04
8742.0,16.0,244.0,0.0,1599.45,2.927,44.643,0.0,1065.0,237059.0,43.373,0.195,0.0042,235.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.03
8745.0,3.0,244.0,0.0,1599.999,0.549,44.643,0.0,1034.0,238093.0,43.562,0.189,0.0043,234.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.01
8751.0,6.0,248.0,4.0,1601.097,1.098,45.374,0.732,5038.0,243131.0,44.484,0.922,0.004,249.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.0
8772.0,21.0,248.0,0.0,1604.939,3.842,45.374,0.0,4666.0,247797.0,45.337,0.854,0.0045,224.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.02
8788.0,16.0,249.0,1.0,1607.866,2.927,45.557,0.183,4636.0,252433.0,46.186,0.848,0.0039,258.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.02
8788.0,0.0,249.0,0.0,1607.866,0.0,45.557,0.0,4180.0,256613.0,46.95,0.765,0.0033,305.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.03
8832.0,44.0,249.0,0.0,1615.916,8.05,45.557,0.0,3935.0,260548.0,47.67,0.72,0.0043,231.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.08
8846.0,14.0,249.0,0.0,1618.478,2.561,45.557,0.0,1116.0,261664.0,47.874,0.204,0.0042,236.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.05
8855.0,9.0,249.0,0.0,1620.125,1.647,45.557,0.0,993.0,262657.0,48.056,0.182,0.0045,223.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,1.0
8862.0,7.0,249.0,0.0,1621.405,1.281,45.557,0.0,5948.0,268605.0,49.144,1.088,0.0044,229.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,0.95
8879.0,17.0,250.0,1.0,1624.516,3.11,45.74,0.183,5032.0,273637.0,50.065,0.921,0.0041,241.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.74,14.462,0.91
